Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Door,occupancy
27,736,24,8,8,510,1,2
27,736,24,9,10,528.67,1,0
27,736,24,10,10,526,1,0
27,736,25,10,11,513.33,1,0
27,736,25,9,10,507.5,1,0
27,736,24,11,11,501.33,1,0
27,736,25,9,9,500.5,1,0
27,736,25,10,10,501,1,0
27,736,25,9,10,502,1,0
27,736,25,9,9,501.33,1,0
27,736,25,9,10,497.5,1,0
27,736,25,11,11,498,1,0
27,736,25,10,11,499.67,1,0
27,735,25,12,12,496.5,1,0
27,736,25,10,10,505,1,0
27,736,25,10,10,511,1,0
27,735,25,10,10,516.67,1,0
27,735,25,10,10,521.5,1,0
27,735,26,9,9,490,1,0
27,735,26,12,12,481.5,1,0
27,735,26,11,12,501.33,1,0
27,735,25,9,10,500,1,0
26.9,735,26,10,11,510,1,0
26.9,735,25,11,11,514,1,0
26.9,735,26,10,10,511,1,0
26.9,735,25,10,10,517,1,1
26.9,735,25,10,10,517,1,1
27,735,25,10,10,528,1,1
27,735,25,9,10,544.67,1,1
27,735,25,10,11,553.5,1,1
27,735,25,9,9,547.67,1,1
27,735,25,9,10,532.5,1,1
27,735,25,7,7,536.67,1,1
27,735,25,7,7,558,1,1
27.1,735,25,6,6,570.33,1,1
27.1,735,25,6,6,574,1,1
27.1,735,25,5,5,585,1,0
27.1,734,25,5,6,586.5,1,0
27.1,734,25,7,7,581.33,1,0
27.1,734,25,6,6,579.5,1,0
27.1,734,24,6,7,574,1,0
27.1,734,24,6,6,565.5,1,0
27.1,734,24,6,7,562.67,1,0
27.1,734,24,6,7,557,1,0
27.1,734,24,6,6,549,1,0
27.1,734,24,5,5,531,1,0
27.1,734,24,4,5,517.33,1,0
27.2,734,24,4,4,504,1,0
27.2,734,24,4,5,482.5,1,0
27.2,734,24,5,5,477.67,1,0
27.2,734,24,4,4,477.5,1,0
27.2,734,25,3,4,474.67,1,0
27.2,734,24,4,4,471,1,0
27.1,734,24,3,3,468.67,1,0
27.1,734,25,3,4,466.5,1,0
27.1,734,25,3,3,462.67,1,0
27.1,734,25,2,2,456.5,1,0
26.9,733,25,3,3,453.33,1,0
27.1,733,24,2,3,449.5,1,0
27.1,733,25,3,3,445,1,0
27.1,733,25,3,3,444.5,1,0
27.1,733,25,3,3,439.67,1,0
27.1,733,25,3,3,436.5,1,0
27.1,733,25,3,3,431.67,1,0
27.1,733,25,2,2,429,1,0
27.1,733,25,3,3,426.33,1,0
27.2,733,25,3,3,425.5,1,0
27.1,733,25,3,3,420.33,1,0
27.1,733,25,4,4,419,1,0
27.1,733,25,4,4,416,1,0
27.1,733,25,2,2,414,1,0
27.1,733,25,2,2,412,1,0
27.1,733,25,3,3,408.5,1,0
27.1,733,25,3,3,407,1,0
27.1,733,25,3,3,405,1,0
27.1,733,25,3,3,403,1,0
27.1,733,25,3,4,399.5,1,0
