Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,2,0,0,23.3,749,18,3,3,471.33,4,1,1,0,0
2023,5,2,0,5,23.3,749,18,2,4,470,4,1,1,0,0
2023,5,2,0,10,23.3,749,18,3,3,470,4,1,1,0,0
2023,5,2,0,15,23.3,749,18,3,3,470,4,1,1,0,0
2023,5,2,0,20,23.3,749,18,3,3,470,4,1,1,0,0
2023,5,2,0,25,23.3,749,18,3,4,469,4,1,1,0,0
2023,5,2,0,30,23.3,749,18,3,3,468,4,1,1,0,0
2023,5,2,0,35,23.3,749,18,2,3,468.5,4,1,1,0,0
2023,5,2,0,40,23.3,750,18,3,3,467.33,4,1,1,0,0
2023,5,2,0,45,23.3,750,18,3,3,466,4,1,1,0,0
2023,5,2,0,50,23.3,750,18,2,3,467,4,1,1,0,0
2023,5,2,0,55,23.3,750,18,3,3,466.5,4,1,1,0,0
2023,5,2,1,0,23.3,750,18,3,3,466.67,4,1,1,0,0
2023,5,2,1,5,23.3,750,18,3,3,466.5,4,1,1,0,0
2023,5,2,1,10,23.3,750,18,3,3,465.33,4,1,1,0,0
2023,5,2,1,15,23.3,750,18,3,4,465,4,1,1,0,0
2023,5,2,1,20,23.3,750,18,3,3,465.33,4,1,1,0,0
2023,5,2,1,25,23.3,750,18,2,4,465,4,1,1,0,0
2023,5,2,1,30,23.3,750,18,3,3,463,4,1,1,0,0
2023,5,2,1,35,23.3,750,18,2,2,463,4,1,1,0,0
2023,5,2,1,40,23.3,750,18,2,3,461.67,4,1,1,0,0
2023,5,2,1,45,23.3,750,18,2,2,462,4,1,1,0,0
2023,5,2,1,50,23.3,750,18,3,3,462,4,1,1,0,0
2023,5,2,1,55,23.3,750,18,2,2,461,4,1,1,0,0
2023,5,2,2,5,23.3,750,18,2,2,461.5,4,1,1,0,0
2023,5,2,2,10,23.3,750,18,3,3,459.33,4,1,1,0,0
2023,5,2,2,15,23.3,750,18,2,4,459,4,1,1,0,0
2023,5,2,2,20,23.3,750,18,3,3,459.33,4,1,1,0,0
2023,5,2,2,25,23.3,750,18,2,3,458.5,4,1,1,0,0
2023,5,2,2,30,23.3,750,18,2,3,457.67,4,1,1,0,0
2023,5,2,2,35,23.3,750,18,2,3,459,4,1,1,0,0
2023,5,2,2,40,23.3,750,18,2,3,457,4,1,1,0,0
2023,5,2,2,45,23.3,750,18,2,2,458,4,1,1,0,0
2023,5,2,2,50,23.3,750,18,3,3,455.67,4,1,1,0,0
2023,5,2,2,55,23.3,750,18,3,4,456,4,1,1,0,0
2023,5,2,3,0,23.3,750,18,2,3,455,4,1,1,0,0
2023,5,2,3,5,23.3,750,18,2,2,454.5,4,1,1,0,0
2023,5,2,3,10,23.3,750,18,3,3,454.33,4,1,1,0,0
2023,5,2,3,15,23.3,750,18,2,3,453.5,4,1,1,0,0
2023,5,2,3,20,23.3,750,18,3,3,453,4,1,1,0,0
2023,5,2,3,25,23.3,750,18,3,4,453.5,4,1,1,0,0
2023,5,2,3,30,23.3,750,18,2,2,453,4,1,1,0,0
2023,5,2,3,35,23.3,750,18,3,3,452,4,1,1,0,0
2023,5,2,3,40,23.3,750,18,3,3,452.33,4,1,1,0,0
2023,5,2,3,45,23.3,750,18,2,3,452.5,4,1,1,0,0
2023,5,2,3,50,23.3,750,18,2,3,451,4,1,1,0,0
2023,5,2,3,55,23.3,750,18,2,3,452.5,4,1,1,0,0
2023,5,2,4,0,23.3,750,18,2,2,451.33,4,1,1,0,0
2023,5,2,4,5,23.3,750,18,3,3,450.5,4,1,1,0,0
2023,5,2,4,10,23.3,750,18,3,3,452,4,1,1,0,0
2023,5,2,4,15,23.3,750,18,2,3,448.5,4,1,1,0,0
2023,5,2,4,20,23.3,750,18,2,3,450.33,4,1,1,0,0
2023,5,2,4,25,23.3,750,18,2,2,449.5,4,1,1,0,0
2023,5,2,4,30,23.3,750,18,2,3,449.33,4,1,1,0,0
2023,5,2,4,35,23.3,750,18,2,2,449.5,4,1,1,0,0
2023,5,2,4,40,23.3,750,18,3,3,449,4,1,1,0,0
2023,5,2,4,45,23.3,750,18,2,3,448,4,1,1,0,0
2023,5,2,4,50,23.3,751,18,3,3,448,4,1,1,0,0
2023,5,2,4,55,23.3,751,18,3,3,449,4,1,1,0,0
2023,5,2,5,5,23.3,751,18,2,2,446.5,4,1,1,0,0
2023,5,2,5,10,23.3,751,18,3,3,447,4,1,1,0,0
2023,5,2,5,15,23.3,751,18,3,3,446.5,4,1,1,0,0
2023,5,2,5,20,23.3,751,18,2,2,446.33,4,1,1,0,0
2023,5,2,5,25,23.3,751,18,2,2,446,4,1,1,0,0
2023,5,2,5,30,23.3,751,18,3,3,445.33,4,1,1,0,0
2023,5,2,5,35,23.3,751,18,3,3,443.5,4,1,1,0,0
2023,5,2,5,40,23.3,751,18,3,3,443.67,4,1,1,0,0
2023,5,2,5,45,23.3,751,18,2,2,444.5,4,1,1,0,0
2023,5,2,5,50,23.3,751,18,2,2,443.33,4,1,1,0,0
2023,5,2,5,55,23.3,751,18,3,3,442.5,4,1,1,0,0
