Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
45047.00029,22.74,746.726,16.71,468,12,11,12,0.00068287,open,closed,0,45047.00139,23.1,21,488.2
45047.00168,22.75,746.726,16.71,468,12,11,12,0.002071759,open,closed,0,45047.00278,23.1,21,488.2
45047.00307,22.75,746.726,16.71,467,13,12,13,0.003460648,open,closed,0,45047.00417,23.1,21,488.25
45047.00446,22.75,746.7185,16.72,468,14,11,14,0.004849537,open,closed,0,45047.00556,23.1,21,488.25
45047.00584,22.75,746.7185,16.71,469,12,11,12,0.006238426,open,closed,0,45047.00694,23.1,21,487.6
45047.00723,22.76,746.7185,16.68,468,13,11,13,0.007627315,open,closed,0,45047.00833,23.1,21,487.6
45047.00862,22.76,746.696,16.73,470,14,12,14,0.009016204,open,closed,0,45047.00972,23.1,21,487.6
45047.01002,22.77,746.6885,16.7,469,12,11,12,0.010405093,open,closed,0,45047.01111,23.1,21,487
45047.01141,22.77,746.696,16.7,470,14,12,14,0.011793981,open,closed,0,45047.0125,23.1,21,487
45047.0128,22.78,746.7035,16.67,470,11,11,11,0.01318287,open,closed,0,45047.01389,23.1,21,488.5
45047.01419,22.78,746.696,16.71,469,12,12,12,0.014571759,open,closed,0,45047.01528,23.1,21,488.5
45047.01558,22.78,746.6885,16.69,470,12,11,12,0.015960648,open,closed,0,45047.01667,23.1,21,488.5
45047.01697,22.79,746.67346,16.7,470,11,11,11,0.017349537,open,closed,0,45047.01806,23.1,21,489.2
45047.01836,22.79,746.696,16.73,470,11,11,11,0.018738426,open,closed,0,45047.01944,23.1,21,489.2
45047.01975,22.79,746.711,16.72,471,14,12,14,0.020127315,open,closed,0,45047.02083,23.1,21,490
45047.02113,22.79,746.711,16.7,473,11,10,11,0.021516204,open,closed,0,45047.02222,23.1,21,490
45047.02252,22.8,746.7185,16.74,471,11,11,11,0.022905093,open,closed,0,45047.02361,23.1,21,490
45047.02392,22.8,746.7185,16.72,470,13,12,13,0.024293981,open,closed,0,45047.025,23.1,21,489
45047.02531,22.8,746.726,16.72,472,13,11,13,0.02568287,open,closed,0,45047.02639,23.1,21,489
45047.0267,22.8,746.7185,16.72,473,13,12,13,0.027071759,open,closed,0,45047.02778,23.1,21,489.5
45047.02809,22.81,746.7335,16.75,471,12,11,12,0.028460648,open,closed,0,45047.02917,23.1,21,489.5
45047.02948,22.81,746.7335,16.72,473,12,11,12,0.029849537,open,closed,0,45047.03056,23.1,21,489.5
45047.03087,22.82,746.7335,16.73,473,13,12,13,0.031238426,open,closed,0,45047.03194,23.2,21,488.8
45047.03226,22.81,746.7335,16.75,472,12,11,12,0.032627315,open,closed,0,45047.03333,23.2,21,488.8
45047.03365,22.82,746.74854,16.75,474,11,10,11,0.034016204,open,closed,0,45047.03472,23.2,21,488.5
45047.03503,22.82,746.74854,16.73,474,12,11,12,0.035405093,open,closed,0,45047.03611,23.2,21,488.5
45047.03642,22.82,746.7635,16.71,474,13,12,13,0.036793981,open,closed,0,45047.0375,23.2,21,488.5
45047.03781,22.82,746.75604,16.74,473,11,11,11,0.03818287,open,closed,0,45047.03889,23.2,21,488.6
45047.03921,22.83,746.74854,16.74,473,12,12,12,0.039571759,open,closed,0,45047.04028,23.2,21,488.6
45047.0406,22.83,746.726,16.76,474,12,11,12,0.040960648,open,closed,0,45047.04167,23.2,21,485.75
45047.04199,22.83,746.726,16.73,475,12,11,12,0.042349537,open,closed,0,45047.04306,23.2,21,485.75
45047.04338,22.83,746.741,16.76,475,12,11,12,0.043738426,open,closed,0,45047.04444,23.2,21,485.75
45047.04477,22.83,746.74854,16.73,474,12,10,12,0.045127315,open,closed,0,45047.04583,23.2,21,483.8
45047.04616,22.84,746.74854,16.74,475,12,11,12,0.046516204,open,closed,0,45047.04722,23.2,21,483.8
45047.04755,22.84,746.74854,16.75,474,15,12,15,0.047905093,open,closed,0,45047.04861,23.2,21,483.5
