Temperature,Pressure,Humidity,CO2 (ppm),DUST TSP,DUST PM2.5,DUST PM10,door,window,occupancy
22.74,746.726,16.71,468,12,11,12,1,0,0
22.75,746.726,16.71,468,12,11,12,1,0,0
22.75,746.726,16.71,467,13,12,13,1,0,0
22.75,746.7185,16.72,468,14,11,14,1,0,0
22.75,746.7185,16.71,469,12,11,12,1,0,0
22.76,746.7185,16.68,468,13,11,13,1,0,0
22.76,746.696,16.73,470,14,12,14,1,0,0
22.77,746.6885,16.7,469,12,11,12,1,0,0
22.77,746.696,16.7,470,14,12,14,1,0,0
22.78,746.7035,16.67,470,11,11,11,1,0,0
22.78,746.696,16.71,469,12,12,12,1,0,0
22.78,746.6885,16.69,470,12,11,12,1,0,0
22.79,746.67346,16.7,470,11,11,11,1,0,0
22.79,746.696,16.73,470,11,11,11,1,0,0
22.79,746.711,16.72,471,14,12,14,1,0,0
22.79,746.711,16.7,473,11,10,11,1,0,0
22.8,746.7185,16.74,471,11,11,11,1,0,0
22.8,746.7185,16.72,470,13,12,13,1,0,0
22.8,746.726,16.72,472,13,11,13,1,0,0
22.8,746.7185,16.72,473,13,12,13,1,0,0
22.81,746.7335,16.75,471,12,11,12,1,0,0
22.81,746.7335,16.72,473,12,11,12,1,0,0
22.82,746.7335,16.73,473,13,12,13,1,0,0
22.81,746.7335,16.75,472,12,11,12,1,0,0
22.82,746.74854,16.75,474,11,10,11,1,0,0
22.82,746.74854,16.73,474,12,11,12,1,0,0
22.82,746.7635,16.71,474,13,12,13,1,0,0
22.82,746.75604,16.74,473,11,11,11,1,0,0
22.83,746.74854,16.74,473,12,12,12,1,0,0
22.83,746.726,16.76,474,12,11,12,1,0,0
22.83,746.726,16.73,475,12,11,12,1,0,0
22.83,746.741,16.76,475,12,11,12,1,0,0
22.83,746.74854,16.73,474,12,10,12,1,0,0
22.84,746.74854,16.74,475,12,11,12,1,0,0
22.84,746.74854,16.75,474,15,12,15,1,0,0
22.84,746.74854,16.74,475,12,11,12,1,0,0
22.84,746.75604,16.73,475,13,11,13,1,0,0
22.85,746.7335,16.78,475,12,12,12,1,0,0
22.85,746.7185,16.76,476,10,10,10,1,0,0
22.85,746.711,16.77,475,13,11,13,1,0,0
