Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
2023-05-09 00:01:39,26.59,745.6009,21.41,547,71,60,71,00:00:59,open,closed,0,2023-05-09 00:02:00,25.3,30,619.2
2023-05-09 00:03:39,26.59,745.6009,21.41,546,74,60,74,00:02:59,open,closed,0,2023-05-09 00:04:00,25.3,30,619.2
2023-05-09 00:05:39,26.58,745.5934,21.37,547,72,60,72,00:04:59,open,closed,0,2023-05-09 00:06:00,25.4,30,619.25
2023-05-09 00:07:39,26.58,745.58594,21.39,547,71,60,71,00:06:59,open,closed,0,2023-05-09 00:08:00,25.4,30,619.25
2023-05-09 00:09:39,26.57,745.5784,21.4,547,70,61,70,00:08:59,open,closed,0,2023-05-09 00:10:00,25.4,30,618.2
2023-05-09 00:11:39,26.58,745.5934,21.37,546,68,58,68,00:10:59,open,closed,0,2023-05-09 00:12:00,25.4,30,618.2
2023-05-09 00:13:39,26.57,745.6009,21.34,545,69,59,69,00:12:59,open,closed,0,2023-05-09 00:14:00,25.4,30,618.2
2023-05-09 00:15:39,26.57,745.58594,21.34,545,70,58,70,00:14:59,open,closed,0,2023-05-09 00:16:00,25.4,30,617.0
2023-05-09 00:17:40,26.56,745.5709,21.35,546,67,59,67,00:16:59,open,closed,0,2023-05-09 00:18:00,25.4,30,617.0
2023-05-09 00:19:40,26.57,745.5784,21.28,543,70,59,70,00:18:59,open,closed,0,2023-05-09 00:20:00,25.4,30,615.4
2023-05-09 00:21:40,26.56,745.58594,21.33,542,72,59,72,00:20:59,open,closed,0,2023-05-09 00:22:00,25.4,30,615.4
2023-05-09 00:23:40,26.57,745.58594,21.32,542,69,58,69,00:22:59,open,closed,0,2023-05-09 00:24:00,25.4,30,615.4
2023-05-09 00:25:40,26.57,745.6084,21.28,541,67,57,67,00:24:59,open,closed,0,2023-05-09 00:26:00,25.4,30,614.75
2023-05-09 00:27:40,26.58,745.5934,21.26,543,71,58,71,00:26:59,open,closed,0,2023-05-09 00:28:00,25.4,30,614.75
2023-05-09 00:29:40,26.59,745.6234,21.24,540,70,58,70,00:28:59,open,closed,0,2023-05-09 00:30:00,25.4,30,613.2
2023-05-09 00:31:40,26.59,745.63837,21.22,541,68,57,68,00:30:59,open,closed,0,2023-05-09 00:32:00,25.4,30,613.2
2023-05-09 00:33:40,26.6,745.6684,21.21,540,69,59,69,00:32:59,open,closed,0,2023-05-09 00:34:00,25.4,30,613.2
2023-05-09 00:35:40,26.6,745.6684,21.19,538,68,57,68,00:34:59,open,closed,0,2023-05-09 00:36:00,25.4,30,613.25
2023-05-09 00:37:41,26.61,745.6759,21.18,539,68,58,68,00:36:59,open,closed,0,2023-05-09 00:38:00,25.4,30,613.25
2023-05-09 00:39:41,26.6,745.70593,21.16,538,67,56,67,00:38:59,open,closed,0,2023-05-09 00:40:00,25.4,30,611.4
2023-05-09 00:41:41,26.61,745.77344,21.14,538,65,58,65,00:40:59,open,closed,0,2023-05-09 00:42:00,25.4,30,611.4
2023-05-09 00:43:41,26.6,745.84094,21.14,533,67,58,67,00:42:59,open,closed,0,2023-05-09 00:44:00,25.4,30,611.4
2023-05-09 00:45:41,26.6,745.8709,21.1,536,67,58,67,00:44:59,open,closed,0,2023-05-09 00:46:00,25.4,30,610.0
2023-05-09 00:47:41,26.59,745.8784,21.1,535,68,58,68,00:46:59,open,closed,0,2023-05-09 00:48:00,25.4,30,610.0
2023-05-09 00:49:41,26.59,745.9234,21.14,535,67,56,67,00:48:59,open,closed,0,2023-05-09 00:50:00,25.4,30,608.8
2023-05-09 00:51:41,26.59,746.006,21.08,534,67,58,67,00:50:59,open,closed,0,2023-05-09 00:52:00,25.4,30,608.8
2023-05-09 00:53:41,26.58,746.04346,21.08,533,67,56,67,00:52:59,open,closed,0,2023-05-09 00:54:00,25.4,30,608.8
2023-05-09 00:55:41,26.59,746.1034,21.08,533,66,56,66,00:54:59,open,closed,0,2023-05-09 00:56:00,25.4,30,608.5
2023-05-09 00:57:42,26.58,746.16345,21.03,533,68,56,68,00:56:59,open,closed,0,2023-05-09 00:58:00,25.4,30,608.5
2023-05-09 00:59:42,26.59,746.17096,21.05,531,66,53,66,00:58:59,open,closed,0,2023-05-09 01:00:00,25.4,30,606.8
2023-05-09 01:01:42,26.59,746.186,21.01,528,67,56,67,01:00:59,open,closed,0,2023-05-09 01:02:00,25.4,30,606.8
2023-05-09 01:03:42,26.6,746.186,20.97,528,66,56,66,01:02:59,open,closed,0,2023-05-09 01:04:00,25.4,30,606.8
2023-05-09 01:05:42,26.6,746.186,20.95,527,67,57,67,01:04:59,open,closed,0,2023-05-09 01:06:00,25.4,30,604.75
2023-05-09 01:07:42,26.6,746.1409,20.92,525,66,55,66,01:06:59,open,closed,0,2023-05-09 01:08:00,25.4,30,604.75
2023-05-09 01:09:42,26.61,746.1409,20.86,523,64,55,64,01:08:59,open,closed,0,2023-05-09 01:10:00,25.4,30,602.0
2023-05-09 01:11:42,26.61,746.16345,20.9,521,64,55,64,01:10:59,open,closed,0,2023-05-09 01:12:00,25.4,30,602.0
2023-05-09 01:13:42,26.61,746.14844,20.85,523,65,56,65,01:12:59,open,closed,0,2023-05-09 01:14:00,25.4,30,602.0
2023-05-09 01:15:42,26.61,746.14844,20.87,522,65,56,65,01:14:59,open,closed,0,2023-05-09 01:16:00,25.4,30,599.0
2023-05-09 01:17:42,26.61,746.1334,20.84,522,68,57,68,01:16:59,open,closed,0,2023-05-09 01:18:00,25.4,30,599.0
2023-05-09 01:19:43,26.6,746.1259,20.83,522,63,54,63,01:18:59,open,closed,0,2023-05-09 01:20:00,25.4,30,596.8
2023-05-09 01:21:43,26.6,746.1409,20.84,521,68,58,68,01:20:59,open,closed,0,2023-05-09 01:22:00,25.4,30,596.8
2023-05-09 01:23:43,26.61,746.17847,20.81,520,65,55,65,01:22:59,open,closed,0,2023-05-09 01:24:00,25.4,30,596.8
2023-05-09 01:25:43,26.6,746.17847,20.81,522,67,54,67,01:24:59,open,closed,0,2023-05-09 01:26:00,25.3,30,593.0
2023-05-09 01:27:43,26.61,746.1259,20.83,522,64,55,64,01:26:59,open,closed,0,2023-05-09 01:28:00,25.3,30,593.0
2023-05-09 01:29:43,26.62,746.1409,20.84,521,65,56,65,01:28:59,open,closed,0,2023-05-09 01:30:00,25.3,30,589.4
2023-05-09 01:31:43,26.61,746.09595,20.81,525,66,56,66,01:30:59,open,closed,0,2023-05-09 01:32:00,25.3,30,589.4
2023-05-09 01:33:43,26.62,746.03595,20.83,525,65,54,65,01:32:59,open,closed,0,2023-05-09 01:34:00,25.3,30,589.4
2023-05-09 01:35:43,26.61,745.9909,20.82,527,63,53,63,01:34:59,open,closed,0,2023-05-09 01:36:00,25.3,30,584.75
2023-05-09 01:37:43,26.62,745.9459,20.86,529,63,54,63,01:36:59,open,closed,0,2023-05-09 01:38:00,25.3,30,584.75
2023-05-09 01:39:44,26.61,745.9985,20.84,529,64,54,64,01:38:59,open,closed,0,2023-05-09 01:40:00,25.4,29,582.2
2023-05-09 01:41:44,26.61,746.0584,20.87,528,61,54,61,01:40:59,open,closed,0,2023-05-09 01:42:00,25.4,29,582.2
2023-05-09 01:43:44,26.61,746.02844,20.89,531,63,55,63,01:42:59,open,closed,0,2023-05-09 01:44:00,25.4,29,582.2
2023-05-09 01:45:44,26.61,745.9985,20.89,531,62,54,62,01:44:59,open,closed,0,2023-05-09 01:46:00,25.4,29,578.5
2023-05-09 01:47:44,26.61,746.0134,20.89,531,62,53,62,01:46:59,open,closed,0,2023-05-09 01:48:00,25.4,29,578.5
2023-05-09 01:49:44,26.61,746.0584,20.9,533,63,53,63,01:48:59,open,closed,0,2023-05-09 01:50:00,25.4,29,575.2
2023-05-09 01:51:44,26.61,746.1034,20.9,534,64,54,64,01:50:59,open,closed,0,2023-05-09 01:52:00,25.4,29,575.2
2023-05-09 01:53:44,26.61,746.1409,20.93,535,63,53,63,01:52:59,open,closed,0,2023-05-09 01:54:00,25.4,29,575.2
2023-05-09 01:55:44,26.62,746.186,20.88,534,61,53,61,01:54:59,open,closed,0,2023-05-09 01:56:00,25.4,29,572.0
2023-05-09 01:57:44,26.61,746.186,20.89,533,63,53,63,01:56:59,open,closed,0,2023-05-09 01:58:00,25.4,29,572.0
2023-05-09 01:59:45,26.62,746.20844,20.94,536,62,51,62,01:58:59,open,closed,0,2023-05-09 02:00:00,25.4,29,568.4
2023-05-09 02:01:45,26.61,746.22345,20.88,534,58,51,58,02:00:59,open,closed,0,2023-05-09 02:02:00,25.4,29,568.4
2023-05-09 02:03:45,26.6,746.23096,20.92,533,62,53,62,02:02:59,open,closed,0,2023-05-09 02:04:00,25.4,29,568.4
2023-05-09 02:05:45,26.6,746.23096,20.94,534,61,51,61,02:04:59,open,closed,0,2023-05-09 02:06:00,25.4,29,566.25
2023-05-09 02:07:45,26.59,746.2459,20.94,535,64,53,64,02:06:59,open,closed,0,2023-05-09 02:08:00,25.4,29,566.25
2023-05-09 02:09:45,26.6,746.2459,20.92,537,62,52,62,02:08:59,open,closed,0,2023-05-09 02:10:00,25.4,29,563.6
2023-05-09 02:11:45,26.59,746.2534,20.99,537,61,52,61,02:10:59,open,closed,0,2023-05-09 02:12:00,25.4,29,563.6
2023-05-09 02:13:45,26.6,746.2609,20.95,537,62,52,62,02:12:59,open,closed,0,2023-05-09 02:14:00,25.4,29,563.6
2023-05-09 02:15:45,26.6,746.2459,20.92,538,61,52,61,02:14:59,open,closed,0,2023-05-09 02:16:00,25.4,29,561.25
