Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Occupancy
2023,6,19,16,0,27,736,24,8,8,510,4,2,1,2
2023,6,19,16,5,27,736,24,9,10,528.67,4,2,1,0
2023,6,19,16,10,27,736,24,10,10,526,4,2,1,0
2023,6,19,16,15,27,736,25,10,11,513.33,4,2,1,0
2023,6,19,16,20,27,736,25,9,10,507.5,4,2,1,0
2023,6,19,16,25,27,736,24,11,11,501.33,4,2,1,0
2023,6,19,16,30,27,736,25,9,9,500.5,4,2,1,0
2023,6,19,16,35,27,736,25,10,10,501,4,2,1,0
2023,6,19,16,40,27,736,25,9,10,502,4,2,1,0
2023,6,19,16,45,27,736,25,9,9,501.33,4,2,1,0
2023,6,19,16,50,27,736,25,9,10,497.5,4,2,1,0
2023,6,19,16,55,27,736,25,11,11,498,4,2,1,0
2023,6,19,17,5,27,736,25,10,11,499.67,4,2,1,0
2023,6,19,17,10,27,735,25,12,12,496.5,4,2,1,0
2023,6,19,17,15,27,736,25,10,10,505,4,2,1,0
2023,6,19,17,20,27,736,25,10,10,511,4,2,1,0
2023,6,19,17,25,27,735,25,10,10,516.67,4,2,1,0
2023,6,19,17,30,27,735,25,10,10,521.5,4,2,1,0
2023,6,19,17,35,27,735,26,9,9,490,4,2,1,0
2023,6,19,17,40,27,735,26,12,12,481.5,4,2,1,0
2023,6,19,17,45,27,735,26,11,12,501.33,4,2,1,0
2023,6,19,17,50,27,735,25,9,10,500,4,2,1,0
2023,6,19,17,55,26.9,735,26,10,11,510,4,2,1,0
2023,6,19,18,0,26.9,735,25,11,11,514,4,2,1,0
2023,6,19,18,5,26.9,735,26,10,10,511,4,2,1,0
2023,6,19,18,10,26.9,735,25,10,10,517,4,2,1,1
2023,6,19,18,10,26.9,735,25,10,10,517,4,2,1,1
2023,6,19,18,15,27,735,25,10,10,528,4,2,1,1
2023,6,19,18,20,27,735,25,9,10,544.67,4,2,1,1
2023,6,19,18,25,27,735,25,10,11,553.5,4,2,1,1
2023,6,19,18,30,27,735,25,9,9,547.67,4,2,1,1
2023,6,19,18,35,27,735,25,9,10,532.5,4,2,1,1
2023,6,19,18,40,27,735,25,7,7,536.67,4,2,1,1
2023,6,19,18,45,27,735,25,7,7,558,4,2,1,1
2023,6,19,18,50,27.1,735,25,6,6,570.33,4,2,1,1
2023,6,19,18,55,27.1,735,25,6,6,574,4,2,1,1
2023,6,19,19,0,27.1,735,25,5,5,585,4,2,1,0
2023,6,19,19,5,27.1,734,25,5,6,586.5,4,2,1,0
2023,6,19,19,10,27.1,734,25,7,7,581.33,4,2,1,0
2023,6,19,19,15,27.1,734,25,6,6,579.5,4,2,1,0
2023,6,19,19,20,27.1,734,24,6,7,574,4,2,1,0
2023,6,19,19,25,27.1,734,24,6,6,565.5,4,2,1,0
2023,6,19,19,30,27.1,734,24,6,7,562.67,4,2,1,0
2023,6,19,19,35,27.1,734,24,6,7,557,4,2,1,0
2023,6,19,19,40,27.1,734,24,6,6,549,4,2,1,0
2023,6,19,19,45,27.1,734,24,5,5,531,4,2,1,0
2023,6,19,19,50,27.1,734,24,4,5,517.33,4,2,1,0
2023,6,19,19,55,27.2,734,24,4,4,504,4,2,1,0
2023,6,19,20,5,27.2,734,24,4,5,482.5,4,1,1,0
2023,6,19,20,10,27.2,734,24,5,5,477.67,4,1,1,0
2023,6,19,20,15,27.2,734,24,4,4,477.5,4,1,1,0
2023,6,19,20,20,27.2,734,25,3,4,474.67,4,1,1,0
2023,6,19,20,25,27.2,734,24,4,4,471,4,1,1,0
2023,6,19,20,30,27.1,734,24,3,3,468.67,4,1,1,0
2023,6,19,20,35,27.1,734,25,3,4,466.5,4,1,1,0
2023,6,19,20,40,27.1,734,25,3,3,462.67,4,1,1,0
2023,6,19,20,45,27.1,734,25,2,2,456.5,4,1,1,0
2023,6,19,20,50,26.9,733,25,3,3,453.33,4,1,1,0
2023,6,19,20,55,27.1,733,24,2,3,449.5,4,1,1,0
2023,6,19,21,0,27.1,733,25,3,3,445,4,1,1,0
2023,6,19,21,5,27.1,733,25,3,3,444.5,4,1,1,0
2023,6,19,21,10,27.1,733,25,3,3,439.67,4,1,1,0
2023,6,19,21,15,27.1,733,25,3,3,436.5,4,1,1,0
2023,6,19,21,20,27.1,733,25,3,3,431.67,4,1,1,0
2023,6,19,21,25,27.1,733,25,2,2,429,4,1,1,0
2023,6,19,21,30,27.1,733,25,3,3,426.33,4,1,1,0
2023,6,19,21,35,27.2,733,25,3,3,425.5,4,1,1,0
2023,6,19,21,40,27.1,733,25,3,3,420.33,4,1,1,0
2023,6,19,21,45,27.1,733,25,4,4,419,4,1,1,0
2023,6,19,21,50,27.1,733,25,4,4,416,4,1,1,0
2023,6,19,21,55,27.1,733,25,2,2,414,4,1,1,0
2023,6,19,22,0,27.1,733,25,2,2,412,4,1,1,0
2023,6,19,22,5,27.1,733,25,3,3,408.5,4,1,1,0
2023,6,19,22,10,27.1,733,25,3,3,407,4,1,1,0
2023,6,19,22,15,27.1,733,25,3,3,405,4,1,1,0
2023,6,19,22,20,27.1,733,25,3,3,403,4,1,1,0
2023,6,19,22,25,27.1,733,25,3,4,399.5,4,1,1,0
2023,6,19,22,30,27.1,732,25,3,4,402,4,1,1,0
2023,6,19,22,35,27.1,732,25,3,3,400.5,4,1,1,0
