Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy,DerivCO2
2023,5,1,0,0,22.7,747,17,12,14,469,4,2,1,0,0,0
2023,5,1,0,5,22.7,747,17,11,12,467.67,4,2,1,0,0,-1.33
2023,5,1,0,10,22.8,747,17,11,13,468.5,4,2,1,0,0,0.83
2023,5,1,0,15,22.8,747,17,11,13,469,4,2,1,0,0,0.5
2023,5,1,0,20,22.8,747,17,12,12,470,4,2,1,0,0,1
2023,5,1,0,25,22.8,747,17,11,12,469.67,4,2,1,0,0,-0.33
2023,5,1,0,30,22.8,747,17,12,12,470.5,4,2,1,0,0,0.83
2023,5,1,0,35,22.8,747,17,11,12,471.33,4,2,1,0,0,0.83
2023,5,1,0,40,22.8,747,17,12,13,472.5,4,2,1,0,0,1.17
2023,5,1,0,45,22.8,747,17,11,12,472.33,4,2,1,0,0,-0.17
2023,5,1,0,50,22.8,747,17,10,12,473,4,2,1,0,0,0.67
2023,5,1,0,55,22.8,747,17,11,12,473.67,4,2,1,0,0,0.67
2023,5,1,1,0,22.8,747,17,12,12,473.5,4,2,1,0,0,-0.17
2023,5,1,1,5,22.8,747,17,11,12,474.67,4,2,1,0,0,1.17
2023,5,1,1,10,22.8,747,17,12,14,474.5,4,2,1,0,0,-0.17
2023,5,1,1,15,22.8,747,17,11,12,475,4,2,1,0,0,0.5
2023,5,1,1,20,22.9,747,17,10,12,475.5,4,2,1,0,0,0.5
2023,5,1,1,25,22.9,747,17,11,12,474.33,4,2,1,0,0,-1.17
2023,5,1,1,30,22.9,747,17,11,14,475.5,4,2,1,0,0,1.17
2023,5,1,1,35,22.9,747,17,11,12,476.33,4,2,1,0,0,0.83
2023,5,1,1,40,22.9,747,17,11,12,476,4,2,1,0,0,-0.33
2023,5,1,1,45,22.9,747,17,10,11,475.67,4,2,1,0,0,-0.33
2023,5,1,1,50,22.9,747,17,10,11,475,4,2,1,0,0,-0.67
2023,5,1,1,55,22.9,747,17,10,11,475,4,2,1,0,0,0
2023,5,1,2,5,22.9,747,17,10,11,474.67,4,2,1,0,0,-0.33
2023,5,1,2,10,22.9,747,17,10,12,475.5,4,2,1,0,0,0.83
2023,5,1,2,15,22.9,747,17,11,12,475.33,4,2,1,0,0,-0.17
2023,5,1,2,20,22.9,747,17,11,12,475,4,2,1,0,0,-0.33
2023,5,1,2,25,22.9,747,17,10,11,474.33,4,2,1,0,0,-0.67
2023,5,1,2,30,22.9,747,17,10,12,474,4,2,1,0,0,-0.33
2023,5,1,2,35,22.9,747,17,10,11,475,4,2,1,0,0,1
2023,5,1,2,40,22.9,747,17,10,12,474.5,4,2,1,0,0,-0.5
2023,5,1,2,45,22.9,747,17,10,12,474.33,4,2,1,0,0,-0.17
2023,5,1,2,50,22.9,747,17,10,12,473.5,4,2,1,0,0,-0.83
2023,5,1,2,55,22.9,747,17,10,11,474.33,4,2,1,0,0,0.83
2023,5,1,3,0,22.9,747,17,10,12,474.5,4,2,1,0,0,0.17
2023,5,1,3,5,22.9,747,17,10,11,474.67,4,2,1,0,0,0.17
2023,5,1,3,10,22.9,747,17,10,12,473.5,4,2,1,0,0,-1.17
2023,5,1,3,15,22.9,747,17,10,11,471.33,4,2,1,0,0,-2.17
2023,5,1,3,20,22.9,747,17,10,10,472.5,4,2,1,0,0,1.17
2023,5,1,3,25,22.9,747,17,10,10,472.33,4,2,1,0,0,-0.17
2023,5,1,3,30,22.9,747,17,10,10,471.5,4,2,1,0,0,-0.83
2023,5,1,3,35,22.9,747,17,10,11,473.33,4,2,1,0,0,1.83
2023,5,1,3,40,22.9,747,17,10,11,472,4,2,1,0,0,-1.33
2023,5,1,3,45,22.9,747,17,10,12,469.67,4,2,1,0,0,-2.33
2023,5,1,3,50,22.9,747,17,9,10,472,4,2,1,0,0,2.33
2023,5,1,3,55,22.9,747,17,10,10,470.33,4,2,1,0,0,-1.67
2023,5,1,4,0,22.9,747,17,9,10,471,4,2,1,0,0,0.67
2023,5,1,4,5,22.9,747,17,10,12,471,4,2,1,0,0,0
2023,5,1,4,10,22.9,747,17,10,10,470,4,2,1,0,0,-1
2023,5,1,4,15,22.9,747,17,9,9,469.67,4,2,1,0,0,-0.33
2023,5,1,4,20,22.9,746,17,9,10,470,4,2,1,0,0,0.33
2023,5,1,4,25,22.9,746,17,10,10,468.33,4,2,1,0,0,-1.67
2023,5,1,4,30,22.9,746,17,10,10,468,4,2,1,0,0,-0.33
2023,5,1,4,35,23,746,17,10,11,468.33,4,2,1,0,0,0.33
2023,5,1,4,40,23,746,17,9,10,467,4,2,1,0,0,-1.33
2023,5,1,4,45,23,746,17,10,11,467.33,4,2,1,0,0,0.33
2023,5,1,4,50,23,746,17,9,9,467,4,2,1,0,0,-0.33
2023,5,1,4,55,23,746,17,9,10,466.67,4,2,1,0,0,-0.33
2023,5,1,5,5,23,746,17,10,11,465.33,4,2,1,0,0,-1.34
2023,5,1,5,10,23,746,17,9,10,467.5,4,2,1,0,0,2.17
2023,5,1,5,15,23,746,17,9,10,465,4,2,1,0,0,-2.5
2023,5,1,5,20,23,746,17,9,10,465.5,4,2,1,0,0,0.5
2023,5,1,5,25,23,746,17,9,10,464.33,4,2,1,0,0,-1.17
2023,5,1,5,30,23,746,17,10,10,463.5,4,2,1,0,0,-0.83
2023,5,1,5,35,23,746,17,10,11,463.33,4,2,1,0,0,-0.17
2023,5,1,5,40,23,746,17,10,10,462.5,4,2,1,0,0,-0.83
2023,5,1,5,45,23,746,17,9,10,463.33,4,2,1,0,0,0.83
2023,5,1,5,50,23,747,17,10,10,462.5,4,2,1,0,0,-0.83
2023,5,1,5,55,23,747,17,9,10,461.67,4,2,1,0,0,-0.83
2023,5,1,6,0,23,747,17,9,10,463,4,2,1,0,0,1.33
2023,5,1,6,5,23,747,17,10,10,462.33,4,2,1,0,0,-0.67
2023,5,1,6,10,23,747,17,10,10,461.5,4,2,1,0,0,-0.83
2023,5,1,6,15,23,747,17,9,10,460.33,4,2,1,0,0,-1.17
2023,5,1,6,20,23,747,17,9,9,460,4,2,1,0,0,-0.33
2023,5,1,6,25,23,747,17,9,9,459.33,4,2,1,0,0,-0.67
2023,5,1,6,30,23,747,17,9,10,459,4,2,1,0,0,-0.33
2023,5,1,6,35,23,747,17,9,9,458.33,4,2,1,0,0,-0.67
2023,5,1,6,40,23,747,17,9,10,457.5,4,2,1,0,0,-0.83
2023,5,1,6,45,23,747,17,9,10,458.67,4,2,1,0,0,1.17
2023,5,1,6,50,23,747,17,9,10,457,4,2,1,0,0,-1.67
2023,5,1,6,55,23,747,17,9,10,457.67,4,2,1,0,0,0.67
2023,5,1,7,0,23,747,17,9,10,456.5,4,2,1,0,0,-1.17
2023,5,1,7,5,23,747,17,9,9,457,4,2,1,0,0,0.5
2023,5,1,7,10,23,747,17,8,9,456,4,2,1,0,0,-1
2023,5,1,7,15,23,747,17,9,9,456.67,4,2,1,0,0,0.67
2023,5,1,7,20,23,747,17,8,9,456,4,2,1,0,0,-0.67
2023,5,1,7,25,23,747,17,9,9,455,4,2,1,0,0,-1
2023,5,1,7,30,23,747,17,9,9,454,4,2,1,0,0,-1
2023,5,1,7,35,23.1,747,17,8,9,454,4,2,1,0,0,0
2023,5,1,7,40,23.1,747,17,8,9,455,4,2,1,0,0,1
2023,5,1,7,45,23.1,747,17,8,9,454,4,2,1,0,0,-1
2023,5,1,7,50,23.1,747,17,10,10,454.5,4,2,1,0,0,0.5
2023,5,1,7,55,23.1,747,17,9,9,454.33,4,2,1,0,0,-0.17
2023,5,1,8,5,23.1,747,17,8,9,452.67,4,2,1,0,0,-1.66
2023,5,1,8,10,23.1,747,17,8,8,454,4,2,1,0,0,1.33
2023,5,1,8,15,23.1,747,17,8,9,452,4,2,1,0,0,-2
2023,5,1,8,20,23.1,747,17,9,10,452,4,2,1,0,0,0
2023,5,1,8,25,23.1,747,17,9,9,451.67,4,2,1,0,0,-0.33
2023,5,1,8,30,23.1,747,17,8,8,451,4,2,1,0,0,-0.67
