Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,16,6,15,21.5,745,21,19,22,421.33,4,3,1,1,0
2023,5,16,6,20,21.5,745,21,19,22,423.5,4,3,1,1,0
2023,5,16,6,25,21.6,745,21,19,21,423,4,3,1,1,0
2023,5,16,6,30,21.6,745,21,19,21,424.5,4,3,1,1,0
2023,5,16,6,35,21.6,745,21,18,20,426.33,4,3,1,1,0
2023,5,16,6,40,21.7,745,21,18,23,428.5,4,3,1,1,0
2023,5,16,6,45,21.7,745,21,18,21,431.67,4,3,1,1,0
2023,5,16,6,50,21.8,745,21,18,21,434,4,3,1,1,0
2023,5,16,6,55,21.8,745,21,17,20,436,4,3,1,1,0
2023,5,16,7,0,21.9,745,21,16,20,437.5,4,3,1,1,0
2023,5,16,7,5,21.9,745,21,16,18,438,4,3,1,1,0
2023,5,16,7,10,21.9,745,26,16,19,455,4,3,1,1,0
2023,5,16,7,15,21.9,745,26,15,17,453.67,4,3,1,1,0
2023,5,16,7,20,21.9,745,26,15,17,455,4,3,1,1,0
2023,5,16,7,25,21.9,746,25,15,17,454.33,4,3,1,1,0
2023,5,16,7,30,21.9,746,24,15,18,452,4,3,1,1,0
2023,5,16,7,35,22,746,23,15,18,453.33,4,3,1,1,0
2023,5,16,7,40,22,746,23,14,16,452.5,4,3,1,1,0
2023,5,16,7,45,22,746,23,15,17,452,4,3,1,1,0
2023,5,16,7,50,22,746,23,15,18,453,4,3,1,1,0
2023,5,16,7,55,22,746,23,14,17,454,4,3,1,1,0
2023,5,16,8,5,22.1,746,23,14,16,458.33,4,3,1,1,0
2023,5,16,8,10,22.1,746,23,14,16,463.5,4,3,1,1,0
2023,5,16,8,15,22.1,746,23,15,17,467.33,4,3,1,1,0
2023,5,16,8,20,22.2,746,23,14,16,474,4,3,1,1,0
2023,5,16,8,25,22.2,746,23,14,15,485.33,4,3,1,1,0
2023,5,16,8,30,22.3,746,23,14,17,495,4,3,1,1,2
2023,5,16,8,35,22.3,746,23,14,18,523.33,4,3,1,1,2
2023,5,16,8,40,22.4,746,24,14,19,588.5,4,3,1,1,2
2023,5,16,8,45,22.5,746,24,14,17,629.33,4,3,1,1,2
2023,5,16,8,50,22.6,746,24,14,15,675.5,4,3,1,1,2
2023,5,16,8,55,22.6,746,24,13,16,684.67,4,3,1,1,2
2023,5,16,9,0,22.7,746,24,14,16,710,4,3,1,1,2
2023,5,16,9,5,22.8,746,24,14,16,754.67,4,3,1,1,0
2023,5,16,9,10,22.9,746,24,12,16,750,4,3,0,1,3
2023,5,16,9,15,22.9,746,24,14,17,802.33,4,3,1,1,1
2023,5,16,9,20,23,746,24,20,26,807.5,4,3,1,1,3
2023,5,16,9,25,23,746,25,13,16,828,4,3,1,1,3
2023,5,16,9,30,23.1,746,24,12,17,828,4,3,1,1,3
2023,5,16,9,35,23.2,746,24,183,235,839,4,3,1,1,3
2023,5,16,9,40,23.2,746,24,184,226,852.5,4,3,1,1,3
2023,5,16,9,45,23.3,746,24,189,218,863.33,4,3,1,1,3
2023,5,16,9,50,23.4,746,24,578,694,918,4,3,1,1,2
2023,5,16,9,55,23.5,746,23,87,103,845.67,4,3,1,1,1
2023,5,16,10,0,23.5,746,23,21,27,841,4,7,0,1,1
2023,5,16,10,5,23.6,746,23,67,78,790.33,4,7,0,1,1
2023,5,16,10,10,23.6,746,23,269,310,822,4,7,0,1,2
2023,5,16,10,15,23.6,746,23,10,11,798,4,7,0,1,2
2023,5,16,10,20,23.6,746,23,12,16,816.5,4,7,0,1,2
2023,5,16,10,25,23.6,746,23,97,113,849.67,4,7,0,1,2
2023,5,16,10,30,23.7,746,23,80,96,827,4,7,0,1,2
2023,5,16,10,35,23.7,745,23,35,42,829.67,4,7,0,1,2
2023,5,16,10,40,23.7,745,23,10,12,824,4,7,0,1,3
2023,5,16,10,45,23.7,745,23,106,119,785.33,4,7,0,1,3
2023,5,16,10,50,23.7,745,23,49,56,720.5,4,7,0,1,3
2023,5,16,10,55,23.7,745,23,25,30,742.67,4,7,0,1,3
2023,5,16,11,5,23.6,745,23,158,181,669.33,4,7,0,1,3
2023,5,16,11,10,23.5,745,23,18,22,566,4,7,0,1,3
2023,5,16,11,15,23.5,745,23,36,40,578.67,4,7,0,1,3
2023,5,16,11,20,23.4,745,23,34,41,547.5,4,7,0,1,3
2023,5,16,11,25,23.3,745,23,77,90,552.67,4,7,0,1,3
2023,5,16,11,30,23.2,745,23,28,33,543.5,4,7,0,1,3
2023,5,16,11,35,23.1,745,23,38,43,549.33,4,7,0,1,3
2023,5,16,11,40,23,745,22,14,18,512.5,4,7,0,1,3
2023,5,16,11,45,22.9,745,22,14,17,518.33,4,7,1,1,1
2023,5,16,11,50,22.9,745,23,13,16,560,4,7,1,1,0
2023,5,16,11,55,22.9,745,23,13,14,581.67,4,7,1,1,0
2023,5,16,12,0,22.8,745,23,12,14,559,4,5,1,1,0
2023,5,16,12,5,22.9,745,22,12,13,544,4,5,1,1,0
2023,5,16,12,10,22.9,745,22,13,18,534,4,5,1,1,0
2023,5,16,12,15,22.9,745,22,13,18,528.33,4,5,1,1,0
2023,5,16,12,20,22.9,745,22,14,20,517.5,4,5,1,1,0
2023,5,16,12,25,22.9,745,22,14,18,508,4,5,1,1,0
2023,5,16,12,30,23,745,22,14,20,501,4,5,1,1,0
2023,5,16,12,35,23,745,22,13,17,492.33,4,5,1,1,0
2023,5,16,12,40,23,745,21,13,18,483.5,4,5,1,1,0
2023,5,16,12,45,22.9,745,21,13,19,482.67,4,5,1,1,0
2023,5,16,12,50,22.9,745,21,14,19,482.5,4,5,1,1,0
2023,5,16,12,55,22.9,745,21,12,17,469.67,4,5,1,1,0
2023,5,16,13,0,22.9,745,21,12,14,460,4,3,1,1,0
2023,5,16,13,5,22.9,745,21,13,16,464.33,4,3,1,1,0
2023,5,16,13,10,22.9,745,21,12,16,465,4,3,1,1,0
2023,5,16,13,15,22.9,745,21,13,17,458,4,3,1,1,0
2023,5,16,13,20,22.9,745,21,13,16,461,4,3,1,1,0
2023,5,16,13,25,22.9,745,21,12,15,459,4,3,1,1,0
2023,5,16,13,30,22.9,745,21,13,17,460,4,3,1,1,0
2023,5,16,13,35,22.9,745,21,13,15,464.33,4,3,1,1,0
2023,5,16,13,40,22.9,745,21,12,14,467,4,3,1,1,0
2023,5,16,13,45,22.9,745,21,14,17,462.67,4,3,1,1,0
2023,5,16,13,50,22.9,745,21,14,16,464,4,3,1,1,0
2023,5,16,13,55,22.8,745,21,14,17,466,4,3,1,1,0
2023,5,16,14,5,22.8,745,21,13,15,476.67,4,3,1,1,0
2023,5,16,14,10,22.9,744,21,14,18,494.5,4,3,1,1,0
2023,5,16,14,15,22.9,744,21,15,17,499,4,3,1,1,0
2023,5,16,14,20,22.9,744,21,15,18,512,4,3,1,1,0
2023,5,16,14,25,22.9,744,21,15,19,505.33,4,3,1,1,0
2023,5,16,14,30,22.9,744,20,15,16,497.5,4,3,1,1,0
2023,5,16,14,35,22.8,744,20,15,17,487.33,4,3,1,1,0
2023,5,16,14,40,22.8,744,20,15,17,487,4,3,1,1,0
2023,5,16,14,45,22.8,744,20,15,17,498.33,4,3,1,1,0
2023,5,16,14,50,22.8,744,20,16,18,483,4,3,1,1,0
2023,5,16,14,55,22.8,744,20,15,17,474.33,4,3,1,1,2
2023,5,16,15,0,22.7,744,19,14,15,461.5,4,3,1,1,0
2023,5,16,15,5,22.7,744,19,14,16,464.67,4,3,1,1,0
2023,5,16,15,10,22.7,744,19,14,16,469,4,3,1,1,0
2023,5,16,15,15,22.7,744,19,13,15,462,4,3,1,1,0
2023,5,16,15,20,22.7,744,19,13,16,478.5,4,3,1,1,0
2023,5,16,15,25,22.6,744,19,13,14,472.33,4,3,1,1,0
2023,5,16,15,30,22.6,744,19,14,15,483.5,4,3,1,1,0
2023,5,16,15,35,22.6,744,20,14,17,501,4,3,1,1,0
2023,5,16,15,40,22.6,744,19,14,16,492.5,4,3,1,1,0
2023,5,16,15,45,22.6,744,20,15,16,508.67,4,3,1,1,0
2023,5,16,15,50,22.6,744,19,13,15,503.5,4,3,1,1,0
2023,5,16,15,55,22.6,744,19,14,16,497,4,3,1,1,0
2023,5,16,16,0,22.6,744,19,13,14,495,4,3,0,1,1
2023,5,16,16,5,22.6,744,19,14,17,508.67,4,3,0,1,1
2023,5,16,16,10,22.6,744,19,12,15,521.5,4,3,0,1,1
2023,5,16,16,15,22.6,744,19,13,14,516.67,4,3,0,1,1
2023,5,16,16,20,22.6,744,19,12,14,517,4,3,0,1,1
2023,5,16,16,25,22.6,744,19,12,13,520,4,3,0,1,1
2023,5,16,16,30,22.6,744,19,11,13,527.5,4,3,0,1,1
2023,5,16,16,35,22.6,744,19,11,12,525.67,4,3,0,1,1
2023,5,16,16,40,22.7,744,19,10,12,540,4,3,0,1,1
2023,5,16,16,45,22.7,744,19,10,11,551.67,4,3,0,1,1
2023,5,16,16,50,22.7,744,19,9,10,561.5,4,3,0,1,1
2023,5,16,16,55,22.7,744,19,10,12,560,4,3,0,1,1
2023,5,16,17,5,22.7,744,19,9,10,541.33,4,2,0,1,1
2023,5,16,17,10,22.7,744,19,8,10,538.5,4,2,0,1,1
2023,5,16,17,15,22.7,744,19,10,11,538,4,2,0,1,1
2023,5,16,17,20,22.7,744,18,14,16,530.5,4,2,1,1,0
2023,5,16,17,25,22.7,744,18,20,22,496.67,4,2,1,1,0
2023,5,16,17,30,22.6,744,17,24,28,460,4,2,1,1,0
2023,5,16,17,35,22.6,744,17,27,32,452.67,4,2,1,1,0
2023,5,16,17,40,22.5,744,17,30,36,449.5,4,2,1,1,0
2023,5,16,17,45,22.5,743,17,32,36,456,4,2,1,1,0
2023,5,16,17,50,22.5,743,18,33,40,465,4,2,1,1,0
2023,5,16,17,55,22.5,743,18,32,39,485,4,2,1,1,0
2023,5,16,18,0,22.5,743,18,32,38,487,4,3,1,1,0
2023,5,16,18,5,22.5,743,18,31,37,487.33,4,3,1,1,0
2023,5,16,18,10,22.5,743,17,34,40,482.5,4,3,1,1,0
2023,5,16,18,15,22.5,743,17,36,41,466,4,3,1,1,0
2023,5,16,18,20,22.5,743,17,37,43,457.5,4,3,1,1,0
2023,5,16,18,25,22.4,743,17,38,43,456.33,4,3,1,1,0
2023,5,16,18,30,22.4,743,17,39,46,450.5,4,3,1,1,0
2023,5,16,18,35,22.4,743,17,38,44,448.33,4,3,1,1,0
2023,5,16,18,40,22.4,743,17,38,46,446,4,3,1,1,0
2023,5,16,18,45,22.4,743,17,35,42,437.67,4,3,1,1,0
2023,5,16,18,50,22.3,743,17,34,40,429.5,4,3,1,1,0
2023,5,16,18,55,22.3,743,17,28,33,426.33,4,3,1,1,0
2023,5,16,19,0,22.2,743,17,27,32,425,4,4,1,1,0
2023,5,16,19,5,22.2,743,17,24,30,422,4,4,1,1,0
2023,5,16,19,10,22.2,743,17,24,30,419.5,4,4,1,1,0
2023,5,16,19,15,22.1,743,17,25,30,418,4,4,1,1,0
2023,5,16,19,20,22.1,743,18,27,32,417,4,4,1,1,0
2023,5,16,19,25,22.1,743,18,28,33,418.67,4,4,1,1,0
2023,5,16,19,30,22.1,743,18,34,38,418.5,4,4,1,1,0
2023,5,16,19,35,22,743,18,37,43,419.33,4,4,1,1,0
2023,5,16,19,40,22,743,18,38,46,418,4,4,1,1,0
2023,5,16,19,45,22,743,18,41,49,417,4,4,1,1,0
2023,5,16,19,50,22,743,18,42,50,415,4,4,1,1,0
2023,5,16,19,55,22,743,18,45,53,415.67,4,4,1,1,0
2023,5,16,20,5,22,743,18,68,80,418,4,4,1,1,0
2023,5,16,20,10,22,743,19,84,98,418.5,4,4,1,1,0
2023,5,16,20,15,21.9,743,19,91,105,419.67,4,4,1,1,0
2023,5,16,20,20,21.9,743,19,96,112,421.5,4,4,1,1,0
2023,5,16,20,25,21.9,743,19,101,118,419,4,4,1,1,0
2023,5,16,20,30,21.9,743,19,103,120,418.5,4,4,1,1,0
2023,5,16,20,35,21.9,743,19,106,123,416,4,4,1,1,0
2023,5,16,20,40,21.9,743,19,105,122,417.5,4,4,1,1,0
2023,5,16,20,45,21.9,743,19,105,123,417.67,4,4,1,1,0
2023,5,16,20,50,21.9,743,19,102,118,418.5,4,4,1,1,0
2023,5,16,20,55,21.9,743,19,103,121,418.67,4,4,1,1,0
2023,5,16,21,0,21.9,743,19,102,116,419.5,4,7,1,1,0
2023,5,16,21,5,21.9,743,19,102,120,418.67,4,7,1,1,0
2023,5,16,21,10,21.9,743,19,101,118,421.5,4,7,1,1,0
2023,5,16,21,15,21.9,743,19,99,115,421,4,7,1,1,0
2023,5,16,21,20,21.9,743,19,100,118,421.5,4,7,1,1,0
2023,5,16,21,25,21.9,743,19,100,116,421,4,7,1,1,0
2023,5,16,21,30,21.9,743,19,97,113,421,4,7,1,1,0
2023,5,16,21,35,21.9,743,19,89,104,418.33,4,7,1,1,0
2023,5,16,21,40,21.9,744,20,70,85,413,4,7,1,1,0
2023,5,16,21,45,21.8,744,20,52,65,410.33,4,7,1,1,0
2023,5,16,21,50,21.7,744,21,40,49,409.5,4,7,1,1,0
2023,5,16,21,55,21.6,744,21,31,39,407.33,4,7,1,1,0
2023,5,16,22,0,21.4,744,22,28,36,409,4,7,1,1,0
2023,5,16,22,5,21.3,744,22,21,25,407,4,7,1,1,0
2023,5,16,22,10,21.2,744,23,18,24,405.5,4,7,1,1,0
2023,5,16,22,15,21.1,744,23,18,22,405,4,7,1,1,0
2023,5,16,22,20,21,744,23,17,19,403,4,7,1,1,0
2023,5,16,22,25,20.9,744,24,15,17,402.33,4,7,1,1,0
2023,5,16,22,30,20.8,745,24,12,14,400.5,4,7,1,1,0
