CO2,Door,occupancy
399.28,0,0
396.71,0,0
401.02,0,0
400.51,0,0
400.28,0,0
403.20,0,0
402.98,0,0
396.67,0,0
396.71,0,0
397.28,0,0
401.80,0,0
404.83,0,0
405.13,0,0
402.63,0,0
402.83,0,0
403.56,0,0
403.02,0,0
404.78,0,0
402.76,0,0
403.24,0,0
404.79,0,0
404.90,0,0
404.35,0,0
401.92,0,0
398.48,0,0
399.34,0,0
404.35,0,0
404.01,0,0
405.36,0,0
404.72,0,0
405.22,0,0
404.62,0,0
403.58,0,0
402.40,0,0
401.02,0,0
404.27,0,0
403.88,0,0
403.35,0,0
400.42,0,0
403.86,0,0
404.10,0,0
402.68,0,0
401.11,0,0
402.72,0,0
405.11,0,0
408.27,0,0
407.92,0,0
407.39,0,0
406.26,0,0
405.96,0,0
406.69,0,0
404.41,0,0
407.17,0,0
405.49,0,0
404.62,0,0
407.19,0,0
410.19,0,0
409.47,0,0
408.09,0,0
406.15,0,0
403.70,0,0
409.10,0,0
408.70,0,0
407.36,0,0
407.10,0,0
403.62,0,0
404.59,0,0
408.71,0,0
408.88,0,0
410.18,0,0
407.34,0,0
406.79,0,0
407.42,0,0
403.84,0,0
404.99,0,0
403.34,0,0
403.92,0,0
408.30,0,0
407.44,0,0
406.70,0,0
405.33,0,0
405.19,0,0
403.22,0,0
402.74,0,0
403.03,0,0
405.46,0,0
405.49,0,0
406.43,0,0
406.52,0,0
405.39,0,0
403.12,0,0
403.66,0,0
406.26,0,0
406.08,0,0
405.94,0,0
407.85,0,0
407.06,0,0
406.53,0,0
405.57,0,0
406.30,0,0
404.91,0,0
406.95,0,0
408.17,0,0
407.84,0,0
409.43,0,0
406.73,0,0
404.66,0,0
404.10,0,0
404.17,0,0
403.50,0,0
400.73,0,0
396.91,0,0
398.14,0,0
400.11,0,0
400.46,0,0
406.96,0,0
406.99,0,0
404.87,0,0
407.09,0,0
407.99,0,0
406.10,0,0
408.86,0,0
407.89,0,0
408.85,0,0
406.54,0,0
404.75,0,0
402.10,0,0
402.64,0,0
406.40,0,0
406.30,0,0
405.17,0,0
405.08,0,0
405.60,0,0
408.17,0,0
407.44,0,0
404.81,0,0
404.94,0,0
404.99,0,0
407.63,0,0
404.50,0,0
405.47,0,0
405.00,0,0
403.91,0,0
404.95,0,0
405.03,0,0
401.15,0,0
403.11,0,0
402.31,0,0
402.45,0,0
401.69,0,0
402.45,0,0
402.49,0,0
402.08,0,0
398.56,0,0
398.32,0,0
396.65,0,0
399.85,0,0
402.44,0,0
403.79,0,0
401.27,0,0
401.27,0,0
400.84,0,0
403.25,0,0
400.86,0,0
401.59,0,0
404.64,0,0
406.96,0,0
402.59,0,0
405.35,0,0
406.12,0,0
402.92,0,0
405.02,0,0
408.10,0,0
409.42,0,0
408.39,0,0
408.15,0,0
406.79,0,0
406.35,0,0
406.52,0,0
404.47,0,0
403.40,0,0
404.85,0,0
401.09,0,0
400.70,0,0
403.79,0,0
403.69,0,0
404.61,0,0
408.06,0,0
407.13,0,0
407.94,0,0
403.90,0,0
404.41,0,0
407.53,0,0
406.14,0,0
405.07,0,0
403.48,0,0
403.75,0,0
404.40,0,0
404.25,0,0
401.46,0,0
398.02,0,0
399.55,0,0
400.74,0,0
402.42,0,0
402.94,0,0
401.89,0,0
400.29,0,0
400.43,0,0
402.10,0,0
402.98,0,0
403.59,0,0
406.58,0,0
406.92,0,0
406.10,0,0
410.08,0,0
411.47,0,0
412.71,0,0
411.64,0,0
409.83,0,0
410.36,0,0
408.60,0,0
406.32,0,0
405.67,0,0
403.22,0,0
401.64,0,0
401.39,0,0
400.19,0,0
399.69,0,0
403.07,0,0
404.07,0,0
403.75,0,0
407.03,0,0
403.92,0,0
402.64,0,0
402.90,0,0
404.54,0,0
403.00,0,0
400.70,0,0
402.16,0,0
403.96,0,0
405.13,0,0
404.77,0,0
403.32,0,0
404.39,0,0
404.92,0,0
404.14,0,0
406.52,0,0
403.47,0,0
401.45,0,0
401.71,0,0
403.00,0,0
403.06,0,0
402.89,0,0
400.84,0,0
403.33,0,0
407.73,0,0
409.75,0,0
409.71,0,0
405.48,0,0
403.13,0,0
403.78,0,0
404.89,0,0
406.45,0,0
406.82,0,0
410.35,0,0
410.24,0,0
410.03,0,0
405.96,0,0
405.14,0,0
408.20,0,0
405.51,0,0
404.96,0,0
